ID,color,x,y,z,ScaleX,ScaleY,ScaleZ
1,blue,-2602.1045588059474,-3322.843822556825,0,0.01,0.01,0
2,blue,-2699.1086822241023,-3043.018609150021,0,0.01,0.01,0
3,blue,-2765.367668769845,-2753.672320223726,0,0.01,0.01,0
4,blue,-2847.955518611521,-2468.7956563760117,0,0.01,0.01,0
5,blue,-2972.5142295978494,-2199.571539831762,0,0.01,0.01,0
6,blue,-3119.6639166950595,-1941.7930219157536,0,0.01,0.01,0
7,blue,-3268.5400616997945,-1684.993269743158,0,0.01,0.01,0
8,blue,-3398.7538929417487,-1418.4081544552757,0,0.01,0.01,0
9,blue,-3485.4330139065296,-1135.0356918349949,0,0.01,0.01,0
10,blue,-3502.245312390202,-839.5775621332244,0,0.01,0.01,0
11,blue,-3442.5990768441616,-549.4903348220038,0,0.01,0.01,0
12,blue,-3322.295062330952,-278.67086890475235,0,0.01,0.01,0
13,blue,-3148.8720635465243,-38.615436129317885,0,0.01,0.01,0
14,blue,-2896.912970519337,112.24558788046899,0,0.01,0.01,0
15,blue,-2602.9020706390093,139.3482733641161,0,0.01,0.01,0
16,blue,-2310.283251476961,91.3764094246619,0,0.01,0.01,0
17,blue,-2023.1535820436577,16.117120647327887,0,0.01,0.01,0
18,blue,-1734.9074629421493,-54.55736217347456,0,0.01,0.01,0
19,blue,-1440.1008163257102,-82.02449811357636,0,0.01,0.01,0
20,blue,-1154.560473450627,-6.323990469995344,0,0.01,0.01,0
21,blue,-867.8433477383564,69.95861997328161,0,0.01,0.01,0
22,blue,-574.8445168005035,116.98363431341674,0,0.01,0.01,0
23,blue,-279.0518744950262,141.35345504200015,0,0.01,0.01,0
24,blue,17.64192733146359,150.23643626766886,0,0.01,0.01,0
25,blue,314.4850666552145,150.77842391974752,0,0.01,0.01,0
26,blue,611.3303440231078,150.04029448905493,0,0.01,0.01,0
27,blue,908.1185940543492,155.23072343826226,0,0.01,0.01,0
28,blue,1204.3265904922307,174.01285520147738,0,0.01,0.01,0
29,blue,1498.2828093257624,214.64211279924132,0,0.01,0.01,0
30,blue,1786.87210127555,283.5748121517431,0,0.01,0.01,0
31,blue,2065.7669434529153,384.70017398418275,0,0.01,0.01,0
32,blue,2329.3678966570797,520.7049275769303,0,0.01,0.01,0
33,blue,2571.4526145700943,692.0591272016219,0,0.01,0.01,0
34,blue,2786.5187525687616,896.3014194826097,0,0.01,0.01,0
35,blue,2971.333485918956,1128.3140492756047,0,0.01,0.01,0
36,blue,3126.897978214477,1380.987712821297,0,0.01,0.01,0
37,blue,3263.6386761226136,1644.4295557600171,0,0.01,0.01,0
38,blue,3391.991725644881,1912.0898584859524,0,0.01,0.01,0
39,blue,3520.9535278046446,2179.4548557348785,0,0.01,0.01,0
40,blue,3660.55782385655,2441.3677829945723,0,0.01,0.01,0
41,blue,3825.1045099675935,2688.1446773370585,0,0.01,0.01,0
42,blue,4036.077659453272,2895.5511714398717,0,0.01,0.01,0
43,blue,4307.192564749653,3009.6328465006673,0,0.01,0.01,0
44,blue,4600.380740377869,2984.698560060382,0,0.01,0.01,0
45,blue,4868.832079008902,2859.81888082807,0,0.01,0.01,0
46,blue,5107.45139517957,2683.8264112543316,0,0.01,0.01,0
47,blue,5315.711505242973,2472.677895556826,0,0.01,0.01,0
48,blue,5494.172831644866,2235.676724717564,0,0.01,0.01,0
49,blue,5649.383922602794,1982.7189749877443,0,0.01,0.01,0
50,blue,5792.008467027128,1722.3888769156868,0,0.01,0.01,0
51,blue,5935.366578861837,1462.4677233621685,0,0.01,0.01,0
52,blue,6094.767974407634,1212.190145082077,0,0.01,0.01,0
53,blue,6285.474264962002,985.1115954418717,0,0.01,0.01,0
54,blue,6479.557247090398,760.8775379800319,0,0.01,0.01,0
55,blue,6635.179500241025,508.4118857956344,0,0.01,0.01,0
56,blue,6755.679871717987,237.3384197234687,0,0.01,0.01,0
57,blue,6841.153522958661,-46.71294577626668,0,0.01,0.01,0
58,blue,6884.543129438896,-340.02622470543116,0,0.01,0.01,0
59,blue,6867.901998755545,-635.6221579100794,0,0.01,0.01,0
60,blue,6757.434055009924,-908.8455434933261,0,0.01,0.01,0
61,blue,6533.324702862049,-1098.4993993067799,0,0.01,0.01,0
62,blue,6251.686877987899,-1189.7078660881807,0,0.01,0.01,0
63,blue,5959.188441524915,-1240.1492291528432,0,0.01,0.01,0
64,blue,5668.889888296997,-1301.2017668408448,0,0.01,0.01,0
65,blue,5406.149772647046,-1434.3256495538785,0,0.01,0.01,0
66,blue,5191.688482015729,-1639.4518732023282,0,0.01,0.01,0
67,blue,4942.560534541493,-1798.2360149254735,0,0.01,0.01,0
68,blue,4656.517907820927,-1874.2508991950779,0,0.01,0.01,0
69,blue,4360.364002525161,-1889.5513836033072,0,0.01,0.01,0
70,blue,4064.031440165536,-1873.0086729824684,0,0.01,0.01,0
71,blue,3768.2036338945054,-1848.4605046554834,0,0.01,0.01,0
72,blue,3471.623345956431,-1839.1606717666714,0,0.01,0.01,0
73,blue,3177.811506568642,-1876.9987439148586,0,0.01,0.01,0
74,blue,2899.9226012876848,-1979.701484036048,0,0.01,0.01,0
75,blue,2646.7484368392193,-2134.0189187037276,0,0.01,0.01,0
76,blue,2417.505048093328,-2322.3481447576114,0,0.01,0.01,0
77,blue,2206.7152973857574,-2531.2645378363572,0,0.01,0.01,0
78,blue,2008.081712412637,-2751.831840567494,0,0.01,0.01,0
79,blue,1815.7999874411687,-2977.98208421002,0,0.01,0.01,0
80,blue,1624.5691228564142,-3205.025143068062,0,0.01,0.01,0
81,blue,1429.349907333551,-3428.6348507124217,0,0.01,0.01,0
82,blue,1225.1600418634353,-3644.0496490891464,0,0.01,0.01,0
83,blue,1006.0099406558109,-3844.0466855097284,0,0.01,0.01,0
84,blue,738.3187604345522,-3966.736469670277,0,0.01,0.01,0
85,blue,443.2465695794235,-3992.0461447234593,0,0.01,0.01,0
86,blue,146.61048618917505,-3981.1427821705506,0,0.01,0.01,0
87,blue,-150.19088149363284,-3976.5728454018526,0,0.01,0.01,0
88,blue,-447.0356337284841,-3977.464373516192,0,0.01,0.01,0
89,blue,-743.8805921737782,-3978.2099445267518,0,0.01,0.01,0
90,blue,-1040.680344468028,-3973.488045909654,0,0.01,0.01,0
91,blue,-1337.0470987589158,-3957.188873859498,0,0.01,0.01,0
92,blue,-1631.6350985397705,-3921.3503282096526,0,0.01,0.01,0
