ID,color,x,y,z,ScaleX,ScaleY,ScaleZ
1,blue,-6747.601782392849,-2846.7113269166775,0,0.01,0.01,0
2,blue,-6778.540688380337,-2550.0964002747737,0,0.01,0.01,0
3,blue,-6748.47125172504,-2253.213572702031,0,0.01,0.01,0
4,blue,-6666.997320105349,-1966.0217530082455,0,0.01,0.01,0
5,blue,-6542.798362474238,-1694.4826842184107,0,0.01,0.01,0
6,blue,-6381.938753050592,-1442.884865423941,0,0.01,0.01,0
7,blue,-6188.814583848236,-1215.1117164323225,0,0.01,0.01,0
8,blue,-5966.113795856613,-1016.1954991361533,0,0.01,0.01,0
9,blue,-5716.223521451524,-852.8524434916008,0,0.01,0.01,0
10,blue,-5442.544878119297,-733.8128628732953,0,0.01,0.01,0
11,blue,-5151.112803827744,-670.0910526601582,0,0.01,0.01,0
12,blue,-4852.856979216633,-670.1315589222169,0,0.01,0.01,0
13,blue,-4558.057966734883,-718.5643836156408,0,0.01,0.01,0
14,blue,-4263.343931675379,-767.1880703160617,0,0.01,0.01,0
15,blue,-3980.2518437305125,-702.2838795394329,0,0.01,0.01,0
16,blue,-3822.9789358371336,-451.9841980839743,0,0.01,0.01,0
17,blue,-3779.8944762436763,-158.2637293774262,0,0.01,0.01,0
18,blue,-3854.863047920432,129.33479409655817,0,0.01,0.01,0
19,blue,-4004.7664334763167,387.3469526108146,0,0.01,0.01,0
20,blue,-4187.377768650643,623.820310335066,0,0.01,0.01,0
21,blue,-4379.893390309545,852.4115454960657,0,0.01,0.01,0
22,blue,-4565.04520275883,1086.9228033442682,0,0.01,0.01,0
23,blue,-4719.23648292133,1342.414649250344,0,0.01,0.01,0
24,blue,-4799.374935675391,1628.6713822371858,0,0.01,0.01,0
25,blue,-4762.007643267584,1923.2286532618093,0,0.01,0.01,0
26,blue,-4638.1979187147235,2194.6032922374093,0,0.01,0.01,0
27,blue,-4476.555532026836,2445.867073147523,0,0.01,0.01,0
28,blue,-4304.20749226215,2690.023700135374,0,0.01,0.01,0
29,blue,-4136.633398351509,2937.466940753444,0,0.01,0.01,0
30,blue,-3973.3280109082825,3187.7633809683493,0,0.01,0.01,0
31,blue,-3806.4411631665253,3435.6706192167953,0,0.01,0.01,0
32,blue,-3626.4082227439985,3674.11566351729,0,0.01,0.01,0
33,blue,-3419.6381618583673,3889.4200411617467,0,0.01,0.01,0
34,blue,-3168.7692141647444,4049.437839675322,0,0.01,0.01,0
35,blue,-2876.648816659754,4098.74700175971,0,0.01,0.01,0
36,blue,-2588.3657185913803,4026.2582414904036,0,0.01,0.01,0
37,blue,-2332.2552630846603,3873.5358971241603,0,0.01,0.01,0
38,blue,-2108.992300756833,3675.313243106657,0,0.01,0.01,0
39,blue,-1913.491469340997,3449.480169373392,0,0.01,0.01,0
40,blue,-1741.5009876417244,3205.197074347623,0,0.01,0.01,0
41,blue,-1590.795122185618,2947.2086441009887,0,0.01,0.01,0
42,blue,-1460.390242530491,2678.3786643531735,0,0.01,0.01,0
43,blue,-1350.5746211711767,2400.503189587328,0,0.01,0.01,0
44,blue,-1262.862360286394,2114.8902887927593,0,0.01,0.01,0
45,blue,-1200.0953024019566,1822.802396221406,0,0.01,0.01,0
46,blue,-1162.0974741782193,1526.4344120934275,0,0.01,0.01,0
47,blue,-1140.241779784732,1228.3921273781584,0,0.01,0.01,0
48,blue,-1121.881954264964,930.1011970114334,0,0.01,0.01,0
49,blue,-1084.615733311351,633.7796086339662,0,0.01,0.01,0
50,blue,-966.331136715948,363.2838395238558,0,0.01,0.01,0
51,blue,-708.1164639002111,220.26819653229026,0,0.01,0.01,0
52,blue,-414.2399087533306,168.2708177197675,0,0.01,0.01,0
53,blue,-115.90213104532125,151.84051986399183,0,0.01,0.01,0
54,blue,182.9401866708693,149.5757279734235,0,0.01,0.01,0
55,blue,481.79828508014,150.46871587998396,0,0.01,0.01,0
56,blue,780.6292564956152,146.98919433313407,0,0.01,0.01,0
57,blue,1079.1099163458298,132.5303045453346,0,0.01,0.01,0
58,blue,1376.169332695291,100.38659470179354,0,0.01,0.01,0
59,blue,1669.6717542170334,44.55346373586693,0,0.01,0.01,0
60,blue,1956.9260116186272,-37.513615731504046,0,0.01,0.01,0
61,blue,2234.566697523893,-147.72504144992666,0,0.01,0.01,0
62,blue,2497.9847828890383,-288.4953445581949,0,0.01,0.01,0
63,blue,2740.898334888435,-462.1672079999961,0,0.01,0.01,0
64,blue,2955.1574311567933,-670.047610451266,0,0.01,0.01,0
